date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,backend_home,backend_away,home_in_prior,away_in_prior
2026-03-26,Ukraine,Sweden,1.0,3.0,FIFA World Cup qualification,Valencia,Spain,True,Ukraine,Sweden,True,True
2026-03-26,Slovakia,Kosovo,3.0,4.0,FIFA World Cup qualification,Bratislava,Slovakia,False,Slovakia,Kosovo,True,True
2026-03-26,Turkey,Romania,1.0,0.0,FIFA World Cup qualification,Istanbul,Turkey,False,Turkey,Romania,True,True
2026-03-26,Czech Republic,Republic of Ireland,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,Czech Republic,Republic of Ireland,True,True
2026-03-26,Denmark,North Macedonia,4.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,Denmark,North Macedonia,True,True
2026-03-26,Tanzania,Liechtenstein,0.0,1.0,FIFA Series,Kigali,Rwanda,True,Tanzania,Liechtenstein,True,True
2026-03-26,Martinique,Cuba,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,Martinique,Cuba,True,True
2026-03-26,Dominican Republic,El Salvador,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,Dominican Republic,El Salvador,True,True
2026-03-26,Saint Martin,Barbados,3.0,1.0,CONCACAF Series,Rincon,Bonaire,True,Saint Martin,Barbados,True,True
2026-03-26,Bonaire,Saint Vincent and the Grenadines,3.0,1.0,CONCACAF Series,Rincon,Bonaire,False,Bonaire,Saint Vincent and the Grenadines,True,True
2026-03-26,Bahamas,Anguilla,1.0,3.0,CONCACAF Series,George Town,Cayman Islands,True,Bahamas,Anguilla,True,True
2026-03-26,Cayman Islands,British Virgin Islands,1.0,1.0,CONCACAF Series,George Town,Cayman Islands,False,Cayman Islands,British Virgin Islands,True,True
2026-03-27,Algeria,Guatemala,7.0,0.0,Friendly,Genoa,Italy,True,Algeria,Guatemala,True,True
2026-03-27,Argentina,Mauritania,2.0,1.0,Friendly,Buenos Aires,Argentina,False,Argentina,Mauritania,True,True
2026-03-27,Austria,Ghana,5.0,1.0,Friendly,Vienna,Austria,False,Austria,Ghana,True,True
2026-03-27,England,Uruguay,1.0,1.0,Friendly,London,England,False,England,Uruguay,True,True
2026-03-27,Greece,Paraguay,0.0,1.0,Friendly,Athens,Greece,False,Greece,Paraguay,True,True
2026-03-27,Guinea,Togo,2.0,2.0,"Morocco, Capital of African Football",Rabat,Morocco,True,Guinea,Togo,True,True
2026-03-27,Liberia,Benin,0.0,1.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,Liberia,Benin,True,True
2026-03-27,Libya,Niger,0.0,0.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,Libya,Niger,True,True
2026-03-27,Montenegro,Andorra,2.0,0.0,Friendly,Podgorica,Montenegro,False,Montenegro,Andorra,True,True
2026-03-27,Morocco,Ecuador,1.0,1.0,Friendly,Madrid,Spain,True,Morocco,Ecuador,True,True
2026-03-27,Netherlands,Norway,2.0,1.0,Friendly,Amsterdam,Netherlands,False,Netherlands,Norway,True,True
2026-03-27,Saudi Arabia,Egypt,0.0,4.0,Friendly,Jeddah,Saudi Arabia,False,Saudi Arabia,Egypt,True,True
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False,South Africa,Panama,True,True
2026-03-27,Spain,Serbia,3.0,0.0,Friendly,Villarreal,Spain,False,Spain,Serbia,True,True
2026-03-27,Switzerland,Germany,3.0,4.0,Friendly,Basel,Switzerland,False,Switzerland,Germany,True,True
2026-03-27,Costa Rica,Jordan,2.0,2.0,Friendly,Antalya,Turkey,True,Costa Rica,Jordan,True,True
2026-03-27,Iran,Nigeria,1.0,2.0,Friendly,Antalya,Turkey,True,Iran,Nigeria,True,True
2026-03-27,China,Curaçao,2.0,0.0,FIFA Series,Sydney,Australia,True,China,Curaçao,True,True
2026-03-27,Australia,Cameroon,1.0,0.0,FIFA Series,Sydney,Australia,False,Australia,Cameroon,True,True
2026-03-27,Azerbaijan,Saint Lucia,6.0,1.0,FIFA Series,Sumgait,Azerbaijan,False,Azerbaijan,Saint Lucia,True,True
2026-03-27,Solomon Islands,Bulgaria,2.0,10.0,FIFA Series,Jakarta,Indonesia,True,Solomon Islands,Bulgaria,True,True
2026-03-27,Indonesia,Saint Kitts and Nevis,4.0,0.0,FIFA Series,Jakarta,Indonesia,False,Indonesia,Saint Kitts and Nevis,True,True
2026-03-27,Chile,Cape Verde,4.0,2.0,FIFA Series,Auckland,New Zealand,True,Chile,Cape Verde,True,True
2026-03-27,New Zealand,Finland,0.0,2.0,FIFA Series,Auckland,New Zealand,False,New Zealand,Finland,True,True
2026-03-27,Kenya,Estonia,1.0,1.0,FIFA Series,Kigali,Rwanda,True,Kenya,Estonia,True,True
2026-03-27,Rwanda,Grenada,4.0,0.0,FIFA Series,Kigali,Rwanda,False,Rwanda,Grenada,True,True
2026-03-27,Venezuela,Trinidad and Tobago,4.0,1.0,FIFA Series,Tashkent,Uzbekistan,True,Venezuela,Trinidad and Tobago,True,True
2026-03-27,Uzbekistan,Gabon,3.0,1.0,FIFA Series,Tashkent,Uzbekistan,False,Uzbekistan,Gabon,True,True
2026-03-27,Guyana,Dominica,2.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,Guyana,Dominica,True,True
